company,year,per,pbr,psr,profit
SK하이닉스,2008,,1.91,1.42,0.482876064
현대차,2008,13.13,0.98,0.24,0.018386348
LG화학,2008,8.45,2.09,0.7,-0.121904607
POSCO,2008,7.57,1.34,0.97,0.036143228
NAVER,2008,26.57,11.83,9.75,0.017999284
현대모비스,2008,5.27,1.3,0.51,0.069619075
한국전력,2008,,0.48,0.64,0.301831993
KB금융,2008,19.64,0.66,0.41,-1
신한지주,2008,6.96,1.19,0.36,0.224956803
SK텔레콤,2008,13.96,1.29,1.17,0.052219541
LG생활건강,2008,28.21,6.03,1.7,-0.247899338
아모레퍼시픽,2008,22.87,3.25,2.16,0.054338524
SK이노베이션,2008,7.94,1.26,0.18,0.59867052
KT&G,2008,12.39,3.16,3.57,-0.199451346
LG,2008,8.23,1.77,0.12,-0.204981606
LG전자,2008,27.85,2.12,0.28,-0.313345943
삼성SDI,2008,66.75,0.74,0.67,-0.167729089
하나금융지주,2008,8.55,0.84,0.18,0.306314562
기아차,2008,,0.71,0.17,0.090966576
S-Oil,2008,16.07,2.27,0.33,0.119411355
삼성화재,2008,13.51,2.46,0.82,-0.071679171
아모레G,2008,12.23,0.72,0.51,0.411061185
롯데케미칼,2008,,0.84,0.31,0.423495198
카카오,2008,9.2,4.28,2.84,0.219241655
우리은행,2008,,,,0
LG디스플레이,2008,6.91,1.35,0.77,0.140700639
엔씨소프트,2008,42.02,1.79,2.69,0.440095654
고려아연,2008,4.88,1.17,0.7,0.248337789
기업은행,2008,4.09,1.02,0.25,0.296911116
현대중공업,2008,6.4,2.91,0.77,0.061618083
강원랜드,2008,9.44,2.35,3.56,0.11196022
삼성전기,2008,53.8,1.61,0.75,0.111854221
KT,2008,22.88,0.93,0.6,0.033304018
코웨이,2008,15.58,3.67,0.98,-0.00785554
현대제철,2008,3.9,1.09,0.47,-0.075415562
한미사이언스,2008,9.56,2.05,1.32,0.043778541
미래에셋대우,2008,20.34,1.34,0.76,0.280004224
한온시스템,2008,8.2,1.09,0.44,0.109601247
롯데쇼핑,2008,7.52,0.86,0.59,0.299523834
CJ,2008,4.21,0.85,0.21,0.746081719
GS,2008,22.71,0.96,0.08,0.279075609
CJ제일제당,2008,120.73,1.96,0.68,0.212827023
현대글로비스,2008,14.93,3.46,0.59,-0.195116476
LG유플러스,2008,9.71,1.26,0.52,0.116068433
한화케미칼,2008,18.24,0.67,0.27,0.616014711
삼성중공업,2008,8.34,2.32,0.65,0.208788758
DB손해보험,2008,6.27,2.07,0.24,0.10610088
롯데지주,2008,10.13,0.94,1.12,0.095609384
효성,2008,11.32,0.84,0.22,-0.162237951
삼성카드,2008,17.51,1.43,1.84,0.316932907
한국가스공사,2008,13.66,1.29,0.23,-0.269008122
KCC,2008,16.26,1.2,1.16,0.067777538
LG이노텍,2008,7.32,1.09,0.23,-1
NH투자증권,2008,13.71,1.09,0.41,0.27277967
현대건설,2008,17.99,2.76,0.99,-0.031773865
한샘,2008,8.07,1.05,0.37,-0.086879207
에스원,2008,17.86,3.17,2.64,-0.159542726
현대해상,2008,9.71,1.75,0.21,-0.125714585
한국금융지주,2008,,1.15,0.46,0.428395657
CJ대한통운,2008,17.09,0.6,1.22,0.000638453
호텔신라,2008,20.61,1.73,0.99,-0.054301997
삼성증권,2008,16.84,1.75,1.78,0.05230092
대한항공,2008,,1.42,0.38,0.114107884
한화,2008,4.82,1.62,0.11,0.331938497
OCI,2008,15.31,4.81,2.24,-0.511962008
대림산업,2008,15.93,1.17,0.48,0.353418464
오뚜기,2008,9.39,1.3,0.39,-0.116076529
현대산업,2008,13.5,1.72,1.22,0.349713888
신세계,2008,20.9,3.52,1.23,0.13118835
유한양행,2008,18.17,2.29,3.33,-0.141936803
대우건설,2008,11.75,1.46,0.75,0.577396543
두산,2008,27.78,2.74,0.21,-0.057132767
제일기획,2008,10.38,1.94,0.9,0.107932158
포스코대우,2008,25.91,2.96,0.27,0.22252622
금호석유,2008,,0.97,0.15,0.392798312
농심,2008,18.95,1.05,0.71,0.15038879
현대백화점,2008,6.47,1.24,0.76,0.167323531
영풍,2008,6.89,0.89,0.49,0.00652217
한화테크윈,2008,31.86,3.13,1.45,0.144743217
두산인프라코어,2008,,2.38,0.52,0.219752986
한전KPS,2008,16.38,2.29,1.23,-0.205031326
두산중공업,2008,,2.84,0.52,-0.071191846
롯데칠성,2008,22.3,0.94,1.03,0.33261569
오리온홀딩스,2008,,1.21,0.42,0.393187739
삼성전자,2009,14.2,1.4,0.8,-0.10625625
SK하이닉스,2009,,1.65,1.08,0.382331786
현대차,2009,11.62,1.02,0.25,-0.14767436
LG화학,2009,11.57,2.05,0.79,-0.431965314
POSCO,2009,16.74,1.17,1.06,0.035985411
NAVER,2009,34.4,8.26,7.92,0.04915326
현대모비스,2009,10.1,1.44,0.63,-0.311175329
한국전력,2009,,0.47,0.57,0.031506173
KB금융,2009,41.13,0.89,0.57,-0.275149181
신한지주,2009,17.26,0.92,0.37,0.24433541
SK,2009,16.02,1.82,0.03,-1
SK텔레콤,2009,10.98,1.12,1.02,0.09984057
LG생활건강,2009,33.61,5.48,1.67,-0.095804994
아모레퍼시픽,2009,24.62,3.2,2.15,-0.128833778
SK이노베이션,2009,16.45,1.19,0.22,0.006362157
KT&G,2009,10.49,2.35,2.75,0.170763584
LG,2009,7.99,1.3,1.35,0.023988911
LG전자,2009,8.67,1.5,0.32,-0.003676978
삼성SDI,2009,32.19,0.97,1.01,-0.296521576
하나금융지주,2009,22.76,0.64,0.2,0.236590893
기아차,2009,7.53,0.77,0.17,-0.173633921
S-Oil,2009,27.42,1.73,0.39,0.13382823
삼성화재,2009,17.5,2.01,0.76,0.040173601
아모레G,2009,16.04,0.7,0.45,-0.008997387
롯데케미칼,2009,4.09,0.67,0.29,-0.058971781
카카오,2009,28.24,2.71,2.06,0.313575173
우리은행,2009,,,,0
LG디스플레이,2009,12.56,1.12,0.56,0.106669625
엔씨소프트,2009,17.31,3.84,4.4,-0.652188843
고려아연,2009,9.28,1.24,0.87,-0.222052696
기업은행,2009,11.31,0.78,0.3,0.269743863
현대중공업,2009,5.86,1.25,0.48,0.501021482
강원랜드,2009,9.05,1.63,2.72,0.243896087
삼성전기,2009,29.4,2.03,0.95,-0.395455811
KT,2009,20.92,0.89,0.52,0.117987994
코웨이,2009,19.03,3.46,1.06,-0.085634328
현대제철,2009,6.41,0.8,0.61,-0.001308034
한미사이언스,2009,16.68,1.69,1.13,0.068953275
미래에셋대우,2009,12.65,1.45,0.91,-0.054279437
한온시스템,2009,9.49,1.11,0.45,-0.108529441
롯데쇼핑,2009,12.87,0.56,0.44,0.093999252
CJ,2009,9.27,0.64,0.13,0.26674903
GS,2009,6.55,0.71,0.08,0.170461599
CJ제일제당,2009,10.17,1.27,0.47,0.336871401
현대글로비스,2009,22.21,3.66,0.76,-0.288429874
LG유플러스,2009,8.04,1.11,0.48,0.037591368
한화케미칼,2009,5.51,0.58,0.29,0.086352493
삼성중공업,2009,7.59,1.72,0.46,0.145751944
DB손해보험,2009,10.11,1.87,0.26,0.134355146
롯데지주,2009,18.27,0.62,0.97,0.121465401
효성,2009,9.25,0.97,0.27,-0.22200318
삼성카드,2009,11.71,1.22,1.99,-0.005130999
한국가스공사,2009,15.81,0.71,0.19,0.442992208
KCC,2009,10.72,0.79,0.91,0.167048089
LG이노텍,2009,20.32,1.87,0.59,-0.555135444
NH투자증권,2009,12.83,0.99,0.45,0.128622117
현대건설,2009,17.31,2.29,0.66,0.155367186
한샘,2009,12.61,0.99,0.3,-0.021622965
에스원,2009,19.03,2.59,2.42,0.127815281
현대해상,2009,8.87,1.55,0.2,0.10828877
한국금융지주,2009,8.2,0.99,0.51,0.25575618
CJ대한통운,2009,456.54,0.72,0.91,0.208390992
호텔신라,2009,26.17,1.22,0.54,0.326878151
삼성증권,2009,16.64,1.67,1.64,0.037615706
대한항공,2009,,1.09,0.35,0.197212308
한화,2009,6.27,1.18,0.09,0.126414732
OCI,2009,12.99,3.33,1.73,0.358710559
대림산업,2009,9.36,0.67,0.33,0.471689227
오뚜기,2009,8.59,1.07,0.34,0.062369829
현대산업,2009,114.87,1.34,1.11,0.301955652
신세계,2009,23.48,2.75,1.06,0.110466827
유한양행,2009,15.92,1.96,3.04,0.087769944
대우건설,2009,42.04,1.23,0.55,0.270549085
두산,2009,12.88,1.59,0.15,0.500633845
제일기획,2009,15.86,1.87,0.96,-0.055414506
포스코대우,2009,25.39,2,0.24,0.159254299
금호석유,2009,,1.54,0.11,0.429749025
농심,2009,11.88,1.09,0.7,-0.1070236
현대백화점,2009,10.77,1.19,0.76,-0.063569763
영풍,2009,7.29,0.83,0.54,-0.090492027
한화테크윈,2009,28.7,3.37,1.39,-0.388362893
두산인프라코어,2009,,2.15,0.5,0.509042977
한전KPS,2009,19.9,2.91,1.7,-0.31371648
두산중공업,2009,,2.09,0.4,0.398656035
롯데칠성,2009,128.59,0.56,0.85,0.164109658
오리온홀딩스,2009,44.3,1.24,0.38,-0.042341712
삼성전자,2010,10.22,1.46,0.88,-0.201027939
SK하이닉스,2010,5.41,1.8,1.18,-0.365409353
현대차,2010,8.9,1.3,0.6,-0.435527859
LG화학,2010,13.39,2.87,1.14,-0.496329241
POSCO,2010,10.34,1.13,0.92,-0.117483113
NAVER,2010,36.19,7.32,8.03,-0.117353972
삼성생명,2010,13.12,1.34,0.87,-1
현대모비스,2010,10.21,1.84,0.92,-0.439727727
한국전력,2010,,0.37,0.54,-0.079071037
KB금융,2010,158.12,0.96,0.99,-0.092065322
신한지주,2010,10.32,0.95,0.86,-0.199231856
SK,2010,13.43,1.91,2.54,-0.426949076
SK텔레콤,2010,7.61,1.02,0.89,0.072123912
LG생활건강,2010,29.96,7.13,2.17,-0.397186682
아모레퍼시픽,2010,23.56,3.09,2.52,-0.272016278
SK이노베이션,2010,15.97,1.05,0.23,-0.227930358
KT&G,2010,8.61,1.82,2.51,0.138236085
LG,2010,10.04,1.34,1.39,-0.183184143
LG전자,2010,15.7,1.37,0.31,0.02473648
삼성SDI,2010,22.26,1.19,1.45,-0.324231605
하나금융지주,2010,9.21,0.62,0.33,-0.149101534
기아차,2010,7.41,1.3,0.36,-0.589470136
S-Oil,2010,15.18,1.6,0.35,-0.059186808
삼성화재,2010,17.75,1.53,0.68,-0.004203729
아모레G,2010,14.09,0.74,0.47,-0.221332884
롯데케미칼,2010,10.84,1.2,0.51,-0.538475547
카카오,2010,8.34,2.85,2.87,-0.427995932
우리은행,2010,,,,0
LG디스플레이,2010,12.32,1.28,0.55,-0.201892425
엔씨소프트,2010,31.58,4.91,6.34,-0.318170703
고려아연,2010,9.51,1.61,1.16,-0.381072967
기업은행,2010,8.12,0.81,0.54,-0.25630002
현대중공업,2010,7.71,1.28,0.54,-0.293351235
강원랜드,2010,14.03,1.96,3.35,-0.253184868
삼성전기,2010,17.35,2.76,1.7,-0.449234319
KT,2010,9.32,0.98,0.59,-0.152270235
코웨이,2010,16.03,3.95,1.9,-0.176904177
현대제철,2010,11.51,1.01,0.83,-0.379347325
한미사이언스,2010,42.48,1.2,38.35,0.693387075
미래에셋대우,2010,19.71,1.62,1.32,-0.104743171
한온시스템,2010,9.48,1.56,0.61,-0.391296464
한화생명,2010,20.59,1.06,0.62,-1
롯데쇼핑,2010,12.17,0.77,0.53,-0.311612535
한미약품,2010,,2.14,2.17,-1
CJ,2010,9.69,0.68,0.18,-0.366232589
GS,2010,7.74,0.82,0.71,-0.341429832
CJ제일제당,2010,4.55,1.16,0.53,-0.226576783
현대글로비스,2010,20.02,4.3,0.67,-0.380097805
LG유플러스,2010,6.44,0.86,0.5,0.111411992
한화케미칼,2010,9.74,0.75,0.47,-0.48078827
삼성중공업,2010,9.07,1.26,0.46,-0.002512929
DB손해보험,2010,22.91,1.4,0.33,-0.222293563
롯데지주,2010,22.11,0.67,1.07,-0.141198459
효성,2010,12.18,1.08,0.32,-0.178978376
삼성카드,2010,6.45,1.07,1.84,-0.184967248
한국가스공사,2010,13.65,0.46,0.16,0.04478746
KCC,2010,10.34,0.61,1.14,-3.26076E-05
LG이노텍,2010,13.09,1.83,0.62,-0.262245472
NH투자증권,2010,18.39,1.05,0.8,-0.051066218
현대건설,2010,15.71,1.86,0.63,-0.034942831
한샘,2010,11.11,1.32,0.45,-0.325821046
에스원,2010,18.5,2.44,2.25,-0.071541502
현대해상,2010,11.63,1.51,0.22,-0.212523459
한국금융지주,2010,13.3,0.97,0.81,-0.020243396
CJ대한통운,2010,21.91,0.56,0.6,0.26910046
호텔신라,2010,21.59,1.75,0.69,-0.354677458
삼성증권,2010,27.35,1.6,1.66,0.039952183
대한항공,2010,9.96,2.07,0.49,-0.409338233
한화,2010,2.98,0.67,0.22,-0.148480889
OCI,2010,12.44,2.88,1.8,-0.149224554
대림산업,2010,13.59,0.73,0.41,-0.171161982
오뚜기,2010,7.18,0.9,0.34,-0.044504098
현대산업,2010,26.35,1.01,0.65,0.274368926
신세계,2010,13.98,1.86,7.26,-0.100272086
유한양행,2010,15.15,1.58,2.73,0.134508371
대우건설,2010,,1.34,0.53,0.100228833
두산,2010,6.29,1.16,1.02,-0.214896394
제일기획,2010,14.82,2.12,1.01,1.076193084
포스코대우,2010,34.09,2.28,0.22,-0.17805521
금호석유,2010,8.14,1.64,0.29,-0.455747161
농심,2010,8.86,0.88,0.65,0.041233566
현대백화점,2010,9.43,1.29,2.07,-0.2189272
영풍,2010,6.97,0.66,0.96,-0.199399502
한화테크윈,2010,23.56,4.11,1.78,-0.310380414
두산인프라코어,2010,22.48,2.51,0.49,-0.244371352
한전KPS,2010,36.76,5.91,3.04,-0.46193243
두산중공업,2010,7.25,1.73,1.08,-0.154614911
롯데칠성,2010,20.85,0.5,0.6,0.005344246
오리온홀딩스,2010,5.77,1.24,0.62,-0.398948591
삼성전자,2011,13.45,1.46,0.92,-0.10349098
SK하이닉스,2011,,1.94,1.47,-0.065749176
현대차,2011,7.94,1.58,0.78,-0.33300345
LG화학,2011,10.97,3.16,1.34,-0.268047577
POSCO,2011,9.08,0.93,0.55,0.16559911
NAVER,2011,35.37,6.54,7.38,-0.083652738
삼성생명,2011,20.88,0.99,0.8,0.107121774
현대모비스,2011,9.4,2.29,1.21,-0.361981284
한국전력,2011,,0.31,0.38,0.272737797
KB금융,2011,5.91,0.82,0.71,0.064722006
신한지주,2011,6.74,1.01,1.26,-0.028540796
SK,2011,13.35,2.5,3.65,-0.375301631
SK텔레콤,2011,7.08,0.9,0.79,0.094390027
LG생활건강,2011,32.63,7.5,2.32,-0.23544808
아모레퍼시픽,2011,19.15,3.16,2.63,-0.149258392
SK이노베이션,2011,4.2,1.19,0.26,-0.304829585
KT&G,2011,13.69,1.79,2.47,-0.055160142
LG,2011,11.04,1.23,1.29,0.01358248
LG전자,2011,,1.2,0.27,0.206242614
삼성SDI,2011,19.67,1.16,1.35,0.014122437
하나금융지주,2011,6.94,0.68,0.44,-0.142058558
기아차,2011,7.8,2.05,0.64,-0.525546702
S-Oil,2011,9.79,2.78,0.46,-0.50331631
삼성화재,2011,13.61,1.43,0.64,-0.134333067
아모레G,2011,14.16,0.97,0.59,-0.289435267
롯데케미칼,2011,9.71,2.07,0.72,-0.520484853
카카오,2011,14.91,3.37,3.69,-0.343179866
우리은행,2011,,,,0
LG디스플레이,2011,,1.05,0.44,0.328158602
엔씨소프트,2011,55.62,6.58,10.38,-0.336361408
고려아연,2011,8.14,2.02,1.25,-0.359444805
기업은행,2011,5.09,0.81,0.63,-0.085691824
현대중공업,2011,7.26,1.61,0.53,-0.302168493
강원랜드,2011,15.27,2.41,4.61,-0.246280144
삼성전기,2011,17.25,2.13,1.24,0.283734515
KT,2011,6.44,0.79,0.47,0.186683326
코웨이,2011,16.9,3.39,1.57,0.049983876
현대제철,2011,10.93,1.11,0.66,-0.16055428
한미사이언스,2011,,0.68,15.17,1.656142261
이마트,2011,25.43,1.42,0.98,-1
미래에셋대우,2011,21.27,1.15,1.26,0.284614943
한온시스템,2011,10.43,1.9,0.72,-0.256036692
한화생명,2011,12.71,0.92,0.54,0.138123085
롯데쇼핑,2011,9.7,0.82,0.52,-0.11943879
한미약품,2011,407.63,1.73,0.96,0.315928229
CJ,2011,6.05,0.75,0.17,-0.070908952
GS,2011,6.21,1.18,0.83,-0.379765415
CJ제일제당,2011,13.68,1.3,0.57,-0.151720502
현대글로비스,2011,20.07,4.38,0.69,-0.24737865
LG유플러스,2011,45.01,0.77,0.34,0.279914177
한국항공우주,2011,49.62,3.85,2.4,-1
한화케미칼,2011,13.61,1.28,0.67,-0.439337069
삼성중공업,2011,7.22,1.56,0.62,-0.269189822
DB손해보험,2011,9.18,1.54,0.33,-0.271125399
롯데지주,2011,23.96,0.86,1.18,-0.194087633
효성,2011,,0.95,0.24,0.177181907
삼성카드,2011,12.75,1.02,1.95,0.063316543
한국가스공사,2011,17.9,0.35,0.1,0.244717073
KCC,2011,9.22,0.63,0.96,0.095699312
LG이노텍,2011,,1.44,0.42,0.429000402
NH투자증권,2011,13.81,0.89,0.69,0.074853731
현대건설,2011,12.35,2.01,0.71,-0.158410889
한샘,2011,12.18,1.65,0.56,-0.294103732
에스원,2011,17.42,2.29,2,-0.013956423
현대해상,2011,7.19,1.57,0.24,-0.279595067
한국금융지주,2011,9.27,0.92,0.81,-0.124434742
CJ대한통운,2011,20.26,0.79,0.83,-0.314095662
호텔신라,2011,27.44,2.01,0.68,-0.171373155
삼성증권,2011,23.61,1.45,1.66,-0.095750128
대한항공,2011,,1.96,0.4,0.169125729
한화,2011,18.08,0.69,0.27,-0.02812174
BNK금융지주,2011,5.33,0.89,0.86,-1
OCI,2011,6.73,2.57,1.98,-0.272431223
대림산업,2011,9.48,0.95,0.52,-0.266066577
GS리테일,2011,19.05,1.25,0.45,-1
오뚜기,2011,7.62,0.78,0.29,0.032926162
현대산업,2011,5.71,0.82,0.5,0.148535642
신세계,2011,1.34,1.61,2.82,0.765952164
유한양행,2011,15.43,1.25,2.26,0.235538264
대우건설,2011,24.65,1.32,0.65,-0.002647435
두산,2011,14.75,1.23,1.12,-0.113601851
제일기획,2011,23.36,2.51,1.05,6.301074597
포스코대우,2011,14.03,1.9,0.19,-0.016438746
금호석유,2011,11.09,4.1,0.94,-0.725946418
농심,2011,16.68,0.9,0.65,-0.053530493
현대백화점,2011,10.85,1.49,2.55,-0.272378452
영풍,2011,8.82,0.94,1.3,-0.367921095
한화테크윈,2011,12.24,2.44,1.32,0.338407046
두산인프라코어,2011,10.09,2.19,0.48,-0.09881852
현대위아,2011,15.13,2.39,0.53,-1
한전KPS,2011,17.71,3.46,1.85,0.489177603
두산중공업,2011,25.07,1.35,0.79,0.27534182
롯데칠성,2011,25.79,0.75,0.77,-0.310960761
오리온홀딩스,2011,19.99,1.61,0.75,-0.310951206
삼성전자,2012,11.17,1.72,1.07,-0.289054754
SK하이닉스,2012,,1.78,1.68,0.030934015
현대차,2012,7.28,1.47,0.79,-0.087803767
LG화학,2012,16.32,2.27,1.04,0.252998123
POSCO,2012,12.36,0.77,0.51,0.173564058
NAVER,2012,31.36,6.63,10.41,-0.164362204
삼성생명,2012,20.76,0.87,0.64,0.016185875
현대모비스,2012,7.88,1.66,0.92,0.127326475
한국전력,2012,,0.32,0.33,0.022933607
KB금융,2012,8.46,0.61,0.59,0.267297472
신한지주,2012,8.17,0.72,0.98,0.187094311
SK,2012,14.46,1.98,2.37,0.170592999
SK텔레콤,2012,10.69,0.8,0.71,0.103314956
LG생활건강,2012,38.3,8.15,2.66,-0.226934744
아모레퍼시픽,2012,26.72,2.85,2.34,0.010724886
SK이노베이션,2012,13.76,0.98,0.21,0.162772547
KT&G,2012,15.03,2.05,2.79,-0.173876522
LG,2012,12.22,0.99,1.14,0.17740756
LG전자,2012,144.07,1.12,0.24,0.195679641
삼성SDI,2012,4.84,0.92,1.2,0.058736861
하나금융지주,2012,5.2,0.56,0.34,0.087153213
기아차,2012,5.92,1.71,0.61,-0.034411108
S-Oil,2012,20.72,2.28,0.35,0.182779155
삼성화재,2012,14.02,1.19,0.57,0.032224332
아모레G,2012,24.9,1.5,0.85,-0.388884667
롯데케미칼,2012,24.89,1.54,0.54,0.308839795
카카오,2012,16.17,2.82,3.2,0.074939617
우리은행,2012,,,,0
LG디스플레이,2012,47.64,0.96,0.33,0.090229696
엔씨소프트,2012,21.14,4.9,7.17,0.172800162
고려아연,2012,13.64,1.93,1.37,-0.079428774
기업은행,2012,5.93,0.58,0.47,0.329046777
현대중공업,2012,17.63,1.05,0.35,0.49658505
강원랜드,2012,20.43,2.14,4.2,0.071720346
삼성전기,2012,17.46,1.96,0.97,-0.019409094
KT,2012,8.86,0.66,0.36,0.152447804
코웨이,2012,35.72,3.28,1.44,-0.001475837
현대제철,2012,9.41,0.79,0.52,0.297338893
한미사이언스,2012,31.6,0.54,10.98,1.725519288
이마트,2012,15.64,1.16,0.55,0.118330688
미래에셋대우,2012,27.39,0.93,1.21,0.486258109
한온시스템,2012,10.92,1.74,0.66,-0.021601408
한국타이어,2012,25.14,1.77,2.45,-1
한화생명,2012,11.56,0.86,0.43,-0.001390434
롯데쇼핑,2012,9.29,0.6,0.36,0.284758135
한미약품,2012,44.74,1.73,0.93,-0.023802512
CJ,2012,15.57,0.81,0.14,-0.102196556
GS,2012,13.8,0.94,0.62,0.186300893
CJ제일제당,2012,20.09,1.52,0.47,-0.191173426
현대글로비스,2012,16.69,4.11,0.67,-0.171611206
LG유플러스,2012,,0.77,0.29,-0.079738761
한국항공우주,2012,34,3.13,1.81,0.172275978
한화케미칼,2012,87.03,0.77,0.45,0.690135811
삼성중공업,2012,10.66,1.37,0.56,0.0173016
DB손해보험,2012,6.53,1.13,0.28,0.058586598
롯데지주,2012,24.39,0.81,1.18,-0.001347446
효성,2012,16.5,0.72,0.17,0.304182887
삼성카드,2012,5.96,0.74,1.22,0.334208385
한국가스공사,2012,15.95,0.49,0.12,-0.30934473
KCC,2012,7.03,0.63,0.98,0.022435866
LG이노텍,2012,,1.36,0.33,0.103014753
NH투자증권,2012,29.43,0.71,0.65,0.419434932
현대건설,2012,15.3,1.7,0.58,0.097028073
한샘,2012,11.06,1.74,0.59,-0.144584408
에스원,2012,26.32,2.48,2.08,-0.102460313
현대해상,2012,7.67,1.32,0.23,-0.053081871
한국금융지주,2012,13.51,0.91,0.68,-0.023252272
CJ대한통운,2012,27.68,0.73,0.77,0.058601156
호텔신라,2012,17.41,2.84,0.89,-0.380997924
삼성증권,2012,25.45,1.15,1.44,0.345762193
대한항공,2012,14.81,1.53,0.32,0.233566146
한화,2012,8.76,0.55,0.07,0.376131328
BNK금융지주,2012,6.97,0.73,0.78,0.098061389
OCI,2012,,1.56,1.54,0.730758299
대림산업,2012,8.59,0.78,0.36,0.116596324
GS리테일,2012,18.68,1.33,0.46,-0.121070792
오뚜기,2012,10.06,0.97,0.38,-0.267163742
현대산업,2012,,0.69,0.5,0.219178082
신세계,2012,13.31,1.02,0.98,0.354120452
유한양행,2012,24.42,1.21,2.02,-0.022867922
대우건설,2012,23.38,1.18,0.49,0.121072562
두산,2012,37.38,1.27,0.16,0.002777234
제일기획,2012,26.38,2.79,0.95,-0.18386702
포스코대우,2012,21.31,1.83,0.23,-0.001961955
금호석유,2012,33.73,2.72,0.73,0.411777013
농심,2012,,0.95,0.66,-0.018384703
현대백화점,2012,11.56,1.27,2.34,0.048480658
영풍,2012,6.96,0.88,0.63,-0.051149847
한화테크윈,2012,24.21,2.22,1.19,0.111529984
두산인프라코어,2012,8.42,1.3,0.39,0.267555697
현대위아,2012,10.64,2.26,0.59,-0.160896435
한전KPS,2012,23.25,4.05,2.14,-0.205420768
두산중공업,2012,112.38,1.52,0.29,0.10415076
롯데칠성,2012,24.7,0.81,0.83,-0.1233404
오리온홀딩스,2012,21.24,2.57,1.09,-0.443200888
삼성전자,2013,7.83,1.6,1.06,-0.117708602
SK하이닉스,2013,9.1,1.62,1.49,-0.158873164
현대차,2013,7.9,1.2,0.73,0.041555476
LG화학,2013,17.48,1.81,0.91,0.151655797
POSCO,2013,20.68,0.66,0.46,0.130897061
NAVER,2013,15.94,7.67,9.1,-0.359085522
삼성생명,2013,35.44,1.05,1.08,-0.103297569
현대모비스,2013,8.35,1.36,0.8,0.031098575
한국전력,2013,371.74,0.38,0.36,-0.161431267
KB금융,2013,12.84,0.56,0.64,0.025739889
신한지주,2013,12.09,0.73,0.87,-0.05081183
SK,2013,33.37,1.78,2.35,-0.01625587
SK텔레콤,2013,11.33,1.06,1,-0.310664049
LG생활건강,2013,27.17,6.87,2.35,0.020297674
아모레퍼시픽,2013,22.21,2.22,1.83,0.175740961
SK이노베이션,2013,18.17,0.89,0.21,0.068162871
KT&G,2013,17.92,1.87,2.75,0.056813138
LG,2013,12.56,0.97,1.16,-0.028778756
LG전자,2013,69.67,1.14,0.24,-0.012013423
삼성SDI,2013,58.52,0.96,2.12,-0.047191026
하나금융지주,2013,13.06,0.54,0.41,-0.024043832
기아차,2013,5.96,1.16,0.5,0.224336496
S-Oil,2013,29.79,1.81,0.31,0.264407431
삼성화재,2013,25.58,1.4,0.77,-0.067955936
아모레G,2013,23.52,1.54,0.83,-0.095877967
롯데케미칼,2013,27.62,1.08,0.41,0.374789013
카카오,2013,18.61,6.9,5.8,0.193838926
우리은행,2013,,,,0
LG디스플레이,2013,21.29,0.95,0.37,-0.029474508
엔씨소프트,2013,34.3,3.07,5.04,0.419155001
고려아연,2013,13.39,1.44,1.26,0.241330998
기업은행,2013,8.5,0.53,0.5,0.03717906
현대중공업,2013,66.68,0.87,0.3,0.180435237
강원랜드,2013,22.25,2.43,4.81,-0.168815905
삼성전기,2013,17.15,1.63,0.82,0.122807618
KT,2013,,0.74,0.39,-0.067498392
코웨이,2013,20.9,4.09,2.02,-0.327419733
현대제철,2013,10.65,0.69,0.49,0.171260547
한미사이언스,2013,72.38,1.61,3.12,-0.230300723
이마트,2013,15.9,0.95,0.48,0.118686869
미래에셋대우,2013,,0.84,1.38,0.119220481
한온시스템,2013,13.96,2.32,0.67,-0.299602502
한국타이어,2013,10.19,1.72,0.96,-0.158794191
한화생명,2013,18.56,0.83,0.57,0.030520132
롯데쇼핑,2013,14.79,0.67,0.39,-0.109715214
한미약품,2013,22.26,2.98,1.68,-0.463156954
CJ,2013,22.6,1.11,0.19,-0.280163312
GS,2013,15.17,0.85,0.58,0.074079742
CJ제일제당,2013,34.24,1.44,0.4,0.088470903
현대글로비스,2013,18,3.21,0.58,0.054479443
LG유플러스,2013,16.79,1.17,0.41,-0.388672238
한국항공우주,2013,77.99,2.93,1.33,0.050375608
한화케미칼,2013,366.35,0.67,0.35,0.15643728
삼성중공업,2013,13.25,1.27,0.56,-0.01750419
DB손해보험,2013,14.73,1.24,0.33,-0.026728439
롯데지주,2013,51.68,0.83,1.18,-0.059431066
효성,2013,,0.86,0.18,-0.059618021
삼성카드,2013,15.86,0.72,1.57,-0.009696875
한국가스공사,2013,,0.64,0.14,-0.159698262
KCC,2013,19.89,0.73,1.18,-0.168489156
LG이노텍,2013,108.63,1.3,0.28,0.010988881
NH투자증권,2013,130.46,0.71,0.78,0.019464083
현대건설,2013,15.34,1.43,0.5,0.119865451
한샘,2013,19.3,2.39,0.75,-0.383494994
에스원,2013,35.3,2.6,1.96,-0.087047767
현대해상,2013,13.93,1.33,0.26,0.032930173
한국금융지주,2013,38.7,0.95,0.84,-0.067487277
CJ대한통운,2013,,0.83,0.6,-0.11522909
호텔신라,2013,246.07,3.5,1.04,-0.177842468
삼성증권,2013,306.81,1.07,1.72,0.058663803
대한항공,2013,,0.86,0.21,0.380405501
한화,2013,22.13,0.58,0.06,-0.059993546
BNK금융지주,2013,10.15,0.84,0.93,-0.18739744
OCI,2013,,1.39,1.34,0.254664579
